gene,stat_sig_type
nhr-111,mutant sensitive
fax-1,mutant sensitive
nhr-100,mutant sensitive
nhr-118,mutant sensitive
nhr-138,mutant sensitive
nhr-12,mutant sensitive
nhr-28,mutant sensitive
nhr-120,mutant sensitive
nhr-173,mutant sensitive
nhr-124,mutant sensitive
nhr-166,mutant sensitive
nhr-102,mutant sensitive
nhr-178,mutant sensitive
nhr-213,mutant sensitive
nhr-37,mutant sensitive
nhr-145,mutant sensitive
nhr-94,mutant sensitive
nhr-161,mutant sensitive
nhr-175,mutant sensitive
nhr-270,mutant sensitive
nhr-195,mutant sensitive
nhr-219,mutant sensitive
nhr-216,mutant sensitive
nhr-232,mutant sensitive
nhr-235,mutant sensitive
nhr-236,mutant sensitive
nhr-239,mutant sensitive
nhr-241,mutant sensitive
nhr-89,mutant sensitive
nhr-242,mutant sensitive
nhr-283,mutant sensitive
nhr-285,mutant sensitive
nhr-290,mutant sensitive
nhr-291,mutant sensitive
nhr-3,mutant sensitive
nhr-4,mutant sensitive
nhr-34,mutant sensitive
nhr-35,mutant sensitive
nhr-69,mutant sensitive
nhr-71,mutant sensitive
nhr-84,mutant sensitive
nhr-85,mutant sensitive
daf-12,mutant sensitive
nhr-15,mutant sensitive
nhr-186,mutant sensitive
nhr-188,mutant sensitive
nhr-189,mutant sensitive
nhr-131,mutant sensitive
nhr-132,mutant sensitive
nhr-156,mutant sensitive
nhr-106,mutant sensitive
nhr-211,mutant sensitive
nhr-107,mutant sensitive
nhr-44,mutant sensitive
nhr-143,mutant sensitive
nhr-142,mutant sensitive
nhr-152,mutant sensitive
nhr-221,mutant sensitive
nhr-93,mutant sensitive
nhr-112,mutant sensitive
nhr-150,mutant sensitive
nhr-50,mutant sensitive
nhr-63,mutant sensitive
nhr-271,mutant sensitive
nhr-116,mutant sensitive
nhr-60,mutant sensitive
nhr-129,mutant sensitive
nhr-141,mutant sensitive
nhr-168ï»¿,mutant sensitive
nhr-109,mutant sensitive
nhr-16,mutant sensitive
nhr-273ï»¿,mutant sensitive
nhr-32,mutant sensitive
nhr-206,mutant sensitive
nhr-208,mutant sensitive
nhr-207,mutant sensitive
nhr-53,mutant resistant
nhr-199,mutant resistant
nhr-249,mutant resistant
nhr-255,mutant resistant
nhr-76,mutant gain
nhr-78,mutant gain
nhr-136,mutant gain
nhr-153,mutant gain
nhr-154,mutant gain
nhr-209,mutant gain
nhr-164,mutant resistant
nhr-169,mutant resistant
nhr-174,mutant resistant
nhr-217,mutant resistant
nhr-82,mutant resistant
nhr-265,mutant resistant
nhr-32,mutant resistant
nhr-30,mutant resistant
nhr-135,mutant gain
nhr-286,mutant gain
nhr-27,mutant sensitive
nhr-214,mutant sensitive
nhr-272,mutant sensitive
nhr-11,mutant sensitive
nhr-22,mutant sensitive
nhr-13,mutant sensitive
